train_loss,test_loss,train_acc_hc,train_acc_pd,test_acc_hc,test_acc_pd,test_acc_combined
0.5845793173578617,0.37400803449800457,0.6793236127987039,0.6497933884297521,0.8209677419354838,0.812125748502994,0.816546745219239
0.36709234702382915,0.2984375512953532,0.8259416767922235,0.8237227648384673,0.8665322580645162,0.8641467065868264,0.8653394823256713
0.3278805586236192,0.324578130523027,0.8536857027136493,0.8536814425244177,0.8580645161290322,0.8510479041916168,0.8545562101603246
0.29936606740096394,0.3283182167905872,0.8672539489671932,0.8672051089406462,0.7903225806451613,0.8237275449101796,0.8070250627776705
0.26608696624604744,0.25819663930747466,0.886897529364115,0.8843914350112697,0.8766129032258064,0.8690119760479041,0.8728124396368553
0.25177573663934394,0.24018555778568074,0.8968205751316323,0.8947220135236664,0.8782258064516129,0.8716317365269461,0.8749287714892795
0.22779844468359772,0.18251997245065235,0.9103888213851762,0.9024229902329076,0.9346774193548387,0.9251497005988024,0.9299135599768206
0.22097242552571686,0.17871000428321,0.9141352774402592,0.9074004507888805,0.9334677419354839,0.9244011976047904,0.9289344697701372
0.21027541620860263,0.18574370254399414,0.9197043337383556,0.9098422238918107,0.9334677419354839,0.9221556886227545,0.9278117152791192
0.19389945054845587,0.1711370833849503,0.9250708788983394,0.9140683696468821,0.9350806451612903,0.9251497005988024,0.9301151728800463
0.19519200265343745,0.19095678134994992,0.9266909680032401,0.9149135987978964,0.9350806451612903,0.9101796407185628,0.9226301429399266
0.19313977882106503,0.17483309586927043,0.9280072904009721,0.9164162283996995,0.9350806451612903,0.9240269461077845,0.9295537956345374
0.1952602224189158,0.17245430890786445,0.9271972458485217,0.9152892561983471,0.9346774193548387,0.9251497005988024,0.9299135599768206
0.18744953121088556,0.17074419715899533,0.9288173349534224,0.9170736288504884,0.9354838709677419,0.9251497005988024,0.9303167857832721
0.20119067500853946,0.1704932073667898,0.9243620899149453,0.91190833959429,0.9350806451612903,0.9247754491017964,0.9299280471315434
0.19572317283959537,0.1859323710708295,0.9280072904009721,0.91190833959429,0.9342741935483871,0.9247754491017964,0.9295248213250917
0.18818676459744604,0.18136275288159565,0.9287160793843662,0.9174492862509391,0.9342741935483871,0.9247754491017964,0.9295248213250917
0.19776128148321037,0.22706797592720743,0.9228432563791008,0.910687453042825,0.9225806451612903,0.9094311377245509,0.9160058914429206
0.18173053408364667,0.17873476755063414,0.9315512353179425,0.9192336589030804,0.9346774193548387,0.9236526946107785,0.9291650569828086
0.17567528508268537,0.22438202665771467,0.9338801134062373,0.9197032306536439,0.9125,0.9090568862275449,0.9107784431137724
0.1781191414489353,0.16936134925838245,0.9331713244228432,0.9198910593538693,0.9350806451612903,0.9247754491017964,0.9299280471315434
0.17564227149624387,0.16839215702424615,0.9331713244228432,0.9205484598046582,0.9354838709677419,0.9251497005988024,0.9303167857832721
0.1748334691486854,0.16922014774912494,0.9339813689752936,0.9211119459053343,0.9350806451612903,0.9247754491017964,0.9299280471315434
0.1786112396537109,0.17289367501260872,0.9344876468205752,0.9214876033057852,0.9354838709677419,0.9244011976047904,0.9299425342862662
