epoch,train_loss,val_loss,val_acc_hc,val_acc_pd,val_acc_combined
1,0.5676553176126928,0.3855171427767501,0.8234824281150159,0.8233282674772037,0.8234053477961099
2,0.37203670197572464,0.5245782757162029,0.8234824281150159,0.7708966565349544,0.7971895423249852
3,0.3222519890524638,0.28709472690382576,0.8714057507987221,0.8552431610942249,0.8633244559464734
4,0.3079796814893046,0.26435429418188894,0.8849840255591054,0.8844984802431611,0.8847412529011333
5,0.28522065106747496,0.2415207984865221,0.884185303514377,0.888677811550152,0.8864315575322645
6,0.2630666286453732,0.24475106227601695,0.8829872204472844,0.8825987841945289,0.8827930023209066
7,0.2629532536221111,0.25794618404828584,0.8869808306709265,0.8901975683890577,0.8885891995299922
8,0.22574079238897204,0.25031291311367965,0.9093450479233227,0.8966565349544073,0.903000791438865
9,0.21040354013188273,0.22069097030111867,0.9285143769968051,0.9084346504559271,0.9184745137263661
10,0.21378147167464098,0.21810185278837496,0.9205271565495208,0.9251519756838906,0.9228395661167057
11,0.20307170156325793,0.21433533034008792,0.9285143769968051,0.9183130699088146,0.9234137234528098
12,0.18622571859572434,0.1792348609266118,0.9345047923322684,0.925531914893617,0.9300183536129427
13,0.18840506076255542,0.49125948879453873,0.8829872204472844,0.8624620060790273,0.8727246132631559
14,0.19798608486437136,0.27512111393814415,0.880591054313099,0.9183130699088146,0.8994520621109567
15,0.18726637116712955,0.21214074495001736,0.9321086261980831,0.9099544072948328,0.921031516746458
16,0.18207814665431651,0.23283923105296925,0.9289137380191693,0.9194528875379939,0.9241833127785817
17,0.18224688889219975,0.18963191371697646,0.9345047923322684,0.9247720364741642,0.9296384144032163
18,0.18004264234382117,0.1855897006825504,0.9321086261980831,0.9236322188449848,0.927870422521534
19,0.1677115654461404,0.20378099891365084,0.9261182108626198,0.9179331306990881,0.922025670780854
20,0.16747678940892857,0.182666575233651,0.9345047923322684,0.9251519756838906,0.9298283840080794
21,0.1650871300480814,0.21723036799165937,0.9317092651757188,0.9213525835866262,0.9265309243811726
22,0.16726252669866523,0.18925749860767627,0.9325079872204473,0.9240121580547113,0.9282600726375793
