Model,Task,Avg_Combined_Acc,Std_Combined_Acc,Avg_HC_Acc,Avg_PD_Acc
cnn,CrossArms,0.8984,0.0096,0.9159,0.8810
cnn,DrinkGlas,0.8644,0.0275,0.8769,0.8520
cnn,Entrainment,0.6368,0.0291,0.6606,0.6131
cnn,HoldWeight,0.9117,0.0206,0.9369,0.8864
cnn,LiftHold,0.9175,0.0088,0.9387,0.8962
cnn,PointFinger,0.6586,0.0285,0.6868,0.6304
cnn,Relaxed,0.7441,0.0467,0.7642,0.7241
cnn,StretchHold,0.9086,0.0165,0.9476,0.8696
cnn,TouchIndex,0.6832,0.0325,0.7339,0.6326
cnn,TouchNose,0.6730,0.0215,0.7141,0.6319
lstm,CrossArms,0.9239,0.0084,0.9375,0.9104
lstm,DrinkGlas,0.8962,0.0115,0.8990,0.8934
lstm,Entrainment,0.6169,0.0464,0.6174,0.6164
lstm,HoldWeight,0.9387,0.0116,0.9489,0.9284
lstm,LiftHold,0.9392,0.0055,0.9465,0.9320
lstm,PointFinger,0.6075,0.0186,0.6130,0.6020
lstm,Relaxed,0.7210,0.0843,0.7495,0.6924
lstm,StretchHold,0.9387,0.0060,0.9483,0.9291
lstm,TouchIndex,0.6421,0.0173,0.6436,0.6406
lstm,TouchNose,0.6229,0.0124,0.6386,0.6073
